List,Url,Category
Ibiza Favorites (always a work in progress),https://maps.app.goo.gl/9hHCBkNtHWbUUThK9,Collections
Ibiza Masterlist (over 1000 places!),https://maps.app.goo.gl/BQVXZHt2oNRzQmNi6,Collections
Formentera,https://maps.app.goo.gl/vuibXdGFpatp4WcX9,Collections
Formentera Favorites,https://maps.app.goo.gl/sWSe87PKnkRzhYLE8,Collections
Ibiza Bars,https://maps.app.goo.gl/hqKjb46Pqn4bFW6m9,Bars
Ibiza Beaches (Ibiza Beach Insider),https://maps.app.goo.gl/moHbkoBsMeRWyG7o6,Beaches
Formentera Beaches,https://maps.app.goo.gl/zdNEhVzSr7TnMXSg9,Beaches
Ibiza Clubs,https://maps.app.goo.gl/QReFrGiEtf8vxojGA,Clubs
Movie Theatres,https://maps.app.goo.gl/pAXa4dkYbDWQm7u8A,Entertainment
Ibiza Spotlight Party Calendar (full events schedule),ibiza-spotlight.com/night/events,Events
Gyms,https://maps.app.goo.gl/Y5VLhdsbkE8cZa28A,Fitness
Zas Comida en tu boca (https://zascomidaentuboca.com/),https://maps.app.goo.gl/945R6CNMzTbWWxfP7,Food Delivery
Green Ibiza (https://greendeliveryibiza.com/),https://maps.app.goo.gl/945R6CNMzTbWWxfP7,Food Delivery
Supermarkets,https://maps.app.goo.gl/A3eFK7PQJpwPv37o9,Groceries
Ibiza Hotels,https://maps.app.goo.gl/CJoiWjxbbsdfUS9X7,Hotels
Santa Eulària Hotels,https://maps.app.goo.gl/uVpSNXM4trTMMTcE6,Hotels
Formentera Hotels,https://maps.app.goo.gl/cbGTqXU6iCuKxmRv8,Hotels
Explore Ibiza (Nature and outdoor fun),https://maps.app.goo.gl/LhnrauUunzPB83LcA,Nature & Outdoors
Formentera Exploring (beaches and outdoor fun),https://maps.app.goo.gl/8PBoAgDaLmsT7nWW6,Nature & Outdoors
Farms,https://maps.app.goo.gl/VH339y9fCQUneRrx6,Nature & Outdoors
Hiking,https://maps.app.goo.gl/52yYeuKcM2FgAJMP6,Nature & Outdoors
Ibiza South,https://maps.app.goo.gl/vGSCP4viMcbMi7sw6,Regions
Formentera Regions,https://maps.app.goo.gl/kpb1ar4z61FVrR4k8,Regions
Ibiza Villages,https://maps.app.goo.gl/j7eRvsSQXixMAQeM7,Regions
Ibiza North,https://maps.app.goo.gl/yJZiVgv7cU36G86u6,Regions
Breakfast,https://maps.app.goo.gl/A6PHgs3Gzd44rHv57,Restaurant Themes
Country Restaurants,https://maps.app.goo.gl/LGjYhaLvhys4UsAg8,Restaurant Themes
Pizza Places,https://maps.app.goo.gl/pT7hENMmL9UTciv5A,Restaurant Themes
Late Night (after 12 am),https://maps.app.goo.gl/Zvc5YYH3t98Xto3z5,Restaurant Themes
Live Music Restaurants,https://maps.app.goo.gl/MgXWLpkLxXfffeUQ9,Restaurant Themes
Lunch Spots by the Sea,https://maps.app.goo.gl/EEU8nDrGY5M852gM9,Restaurant Themes
Romantic Restaurants,https://maps.app.goo.gl/LH2a4uzU6Mq29HLg9,Restaurant Themes
Sunset Restaurants / Sunsets,https://maps.app.goo.gl/WrpMZv9MW5SBVfxz6,Restaurant Themes
Vegetarian,https://maps.app.goo.gl/6KYRk4165LaNWhG28,Restaurant Themes
Ibiza Burger,https://maps.app.goo.gl/oVmoEwdGFZNKrk6M6,Restaurant Themes
Ibiza Sushi,https://maps.app.goo.gl/L2Ez9JkUKTvaTf4q7,Restaurant Themes
Sunday Roast,https://maps.app.goo.gl/tHwy8UZpBZjfK3tv5,Restaurant Themes
Ibiza Date Spots,https://maps.app.goo.gl/frZZZEaut7FjMCU39,Restaurant Themes
Ibiza Restaurants Masterlist,https://maps.app.goo.gl/NKo8zMafHBkBHgvy7,Restaurants
Ibiza Winter (Places that are open during the winter season),https://maps.app.goo.gl/7nUTwD76YJyWr3nJ6,Seasonal
Computer repair,https://maps.app.goo.gl/1NGJbUqdPJ9a2Vvr6,Services
Dentists,https://maps.app.goo.gl/VsYzms33Z1GLxCrE8,Services
Vehicle Repair Ibiza,https://maps.app.goo.gl/HExBoPVMjbbKvWGZ7,Services
Ibiza Shopping,https://maps.app.goo.gl/quCLVxsYQ1AE9usP9,Shopping
Ibiza Town Parking,https://maps.app.goo.gl/UatWHpWJHAekXRYHA,Transport
Taxi Stands,https://maps.app.goo.gl/Tusqz6LUWPp2RiFD8,Transport
Ibiza Taxi,https://maps.app.goo.gl/dZ3AYpeMeSdhyjfi6,Transport
Ibiza Villages,https://maps.app.goo.gl/9avjnjRwerivfkx26,Villages & Areas
Cala Pada,https://maps.app.goo.gl/WUcWCZgwpLgxtxiu5,Villages & Areas
Cala Tarida,https://maps.app.goo.gl/aSYaiGnGtVFXJ6db7,Villages & Areas
Cala Vadella,https://maps.app.goo.gl/3v9GePNoDRH3Z5qV7,Villages & Areas
Es Canar,https://maps.app.goo.gl/u6ZhEEsqYF5rNANn7,Villages & Areas
Es Cubells,https://maps.app.goo.gl/QkKiYsUfrqfPEgp38,Villages & Areas
Es Figueral,https://maps.app.goo.gl/WA7CAdjgMipiQg646,Villages & Areas
Cala Llonga,https://maps.app.goo.gl/wHM9sJjcS3b4pRDr8,Villages & Areas
Ibiza Town,https://maps.app.goo.gl/PH9BaQKGbiZe78QG7,Villages & Areas
Jesús,https://maps.app.goo.gl/1xkJ9WrpBevmWobE7,Villages & Areas
Marina Botafoc,https://maps.app.goo.gl/kV6S7sfspLdJXJXC6,Villages & Areas
Platja d’en Bossa (Playa d’en Bossa),https://maps.app.goo.gl/RLhRU4Qxry1z3h9t6,Villages & Areas
Port d’es Torrent,https://maps.app.goo.gl/DnR8mtuZz7aypx1i8,Villages & Areas
Portinatx,https://maps.app.goo.gl/C6yLs64jsDB2R5wz7,Villages & Areas
S’Argamassa,https://maps.app.goo.gl/nxCKLuSZyA3Wo8Qr8,Villages & Areas
Sant Antoni de Portmany,https://maps.app.goo.gl/XsmUd8a968yX6MkL9,Villages & Areas
Sant Carles de Peralta,https://maps.app.goo.gl/reJsNvRPACPuihHdA,Villages & Areas
Sant Miguel de Balasant (San Miguel),https://maps.app.goo.gl/erJgqxqsewuLkgUm8,Villages & Areas
Sant Rafel de sa Creu (San Rafael),https://maps.app.goo.gl/dFndX8y9RmadVKpo9,Villages & Areas
Santa Agnès de Corona,https://maps.app.goo.gl/iUGEaPNzcuzRtzrw5,Villages & Areas
Santa Eulària des Riu (Santa Eulalia),https://maps.app.goo.gl/tfiDDTRcmAaKXR18A,Villages & Areas
Santa Gertrudis de Fruitera,https://maps.app.goo.gl/XVYEzVSU4sfW6oPE6,Villages & Areas
Sant Joan de Labritja (San Juan),https://maps.app.goo.gl/MHdePVpXjdCZjNfG7,Villages & Areas
Sant Jordi de ses Salines,https://maps.app.goo.gl/x15ZPtTwr6CTB2Lr8,Villages & Areas
Sant Josep de sa Talaia,https://maps.app.goo.gl/KaEMYWakcgybYAg89,Villages & Areas
Sant Llorenç de Balàfia  (San Lorenzo),https://maps.app.goo.gl/duRB7VViL6NYMAt59,Villages & Areas
Ses Salines,https://maps.app.goo.gl/S3e1n11VP8gd1LPL8,Villages & Areas
Siesta,https://maps.app.goo.gl/62gvbyQqfL6Txvr7A,Villages & Areas
Talamanca,https://maps.app.goo.gl/wZ4Y5FaXxUgr6LuU9,Villages & Areas
Sant Vicent de sa Cala,https://maps.app.goo.gl/NCF9RjDbsjp3TFwp7,Villages & Areas
Cap Martinet,https://maps.app.goo.gl/1Mde9qJs4qMLQS9u5,Villages & Areas
Roca Llisa,https://maps.app.goo.gl/bGCgFbuDatyoG4uQ8,Villages & Areas
Valverde,https://maps.app.goo.gl/63vcEpTn5GkbkR579,Villages & Areas
Cala Llenya,https://maps.app.goo.gl/L4t7Bv9Zso1yRD1w8,Villages & Areas
Sant Mateu d’Albarca,https://maps.app.goo.gl/yZGb3wJndbKeEqMJ7,Villages & Areas
Sant Agustí des Vedrà,https://maps.app.goo.gl/REdWxeZpv8xCVUFd6,Villages & Areas
Puig d’en Valls,https://maps.app.goo.gl/tgwhSwQNy4LBmKGm8,Villages & Areas